pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20191224.191047.94-P-CM.GARC.00.HH,2019-12-24 19:10:47.948393,0.29,P,CM,GARC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:10:47.388393,2019-12-24 19:11:21.148393,0.9,6.9,2.186667,-75.493167,1999.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/GARC/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed
20191224.191047.96-S-CM.CLEJA.10.HN,2019-12-24 19:10:47.960000,0.48,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:10:45.010000,2019-12-24 19:10:50.200000,0.72,4.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.191052.74-S-CM.CLEJA.10.HN,2019-12-24 19:10:52.740000,0.02,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:10:50.960000,2019-12-24 19:10:53.990000,0.15,4.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.191053.74-P-CM.YOT.00.HH,2019-12-24 19:10:53.748393,0.08,P,CM,YOT,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:10:52.568393,2019-12-24 19:11:30.008393,0.37,2.9,3.9835,-76.345,1040.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/YOT/CM.YOT.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.191055.67-S-CM.CHI.00.HH,2019-12-24 19:10:55.678394,0.14,S,CM,CHI,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:10:37.798394,2019-12-24 19:11:03.538394,0.88,2.1,4.6295,-73.7371,3140.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed
20191224.191056.34-S-CM.ORTC.00.HH,2019-12-24 19:10:56.348393,0.54,S,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:10:35.948393,2019-12-24 19:11:04.838393,0.98,13.1,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed
20191224.191104.46-P-CM.CLEJA.10.HN,2019-12-24 19:11:04.460000,0.69,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:11:04.360000,2019-12-24 19:11:08.750000,0.68,34.8,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.191107.05-P-CM.URMC.00.HH,2019-12-24 19:11:07.058393,0.67,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:11:06.948393,2019-12-24 19:11:13.358393,0.94,20.4,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.191107.53-S-CM.CLEJA.10.HN,2019-12-24 19:11:07.530000,0.48,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:11:04.360000,2019-12-24 19:11:08.750000,0.68,5.0,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.191111.34-S-CM.GARC.00.HH,2019-12-24 19:11:11.348393,0.48,S,CM,GARC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:10:47.388393,2019-12-24 19:11:21.148393,0.9,14.0,2.186667,-75.493167,1999.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/GARC/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed
