pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type,id,event_idx,prob_gamma
20191224.225424.91-P-CM.CHI.00.HH,2019-12-24 22:54:24.918393,0.7188943,P,CM,CHI,0,HH,PhaseNet,2023-01-18 15:19:18.282532,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHE__20191224T205959Z__20191224T225959Z.mseed_1407000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,992,1407000,overlap,CM.CHI.00.HH,49,0.0001537969489727168
20191224.225442.54-S-CM.ORTC.00.HH,2019-12-24 22:54:42.548393,0.50190675,S,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:43.263729,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_687000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1255,687000,single,CM.ORTC.00.HH,49,0.00018977274686674157
20191224.230720.81-P-CM.URMC.00.HH,2019-12-24 23:07:20.818393,0.965177,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:17:48.114566,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T225959Z__20191225T005959Z.mseed_42000,2019-12-24 22:59:59.998393,2019-12-25 00:59:59.998393,100.0,2082,42000,single,CM.URMC.00.HH,50,0.00018371977650998795
20191224.230724.67-S-CM.URMC.00.HH,2019-12-24 23:07:24.678393,0.65451556,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:17:48.356147,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T225959Z__20191225T005959Z.mseed_42000,2019-12-24 22:59:59.998393,2019-12-25 00:59:59.998393,100.0,2468,42000,single,CM.URMC.00.HH,50,0.00011716417973286477
20191224.230735.91-P-CM.ORTC.00.HH,2019-12-24 23:07:35.918393,0.91323316,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:19:33.050582,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T225959Z__20191225T005959Z.mseed_45000,2019-12-24 22:59:59.998393,2019-12-25 00:59:59.998393,100.0,592,45000,single,CM.ORTC.00.HH,50,0.00021577998186249594
20191224.230738.30-P-CM.CHI.00.HH,2019-12-24 23:07:38.308393,0.7790534,P,CM,CHI,0,HH,PhaseNet,2023-01-18 15:18:26.252575,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHE__20191224T225959Z__20191225T005959Z.mseed_765000,2019-12-24 22:59:59.998393,2019-12-25 00:59:59.998393,100.0,2331,765000,overlap,CM.CHI.00.HH,50,0.0001537969489727168
20191224.230751.18-S-CM.ORTC.00.HH,2019-12-24 23:07:51.188393,0.42786962,S,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:19:43.730363,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T225959Z__20191225T005959Z.mseed_768000,2019-12-24 22:59:59.998393,2019-12-25 00:59:59.998393,100.0,619,768000,overlap,CM.ORTC.00.HH,50,0.00018977274686674157
20191224.230328.51-P-CM.URMC.00.HH,2019-12-24 23:03:28.518393,0.9713108,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:40.281213,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T225959Z__20191225T005959Z.mseed_741000,2019-12-24 22:59:59.998393,2019-12-25 00:59:59.998393,100.0,1352,741000,overlap,CM.URMC.00.HH,51,0.00018371977650998795
20191224.230332.28-S-CM.URMC.00.HH,2019-12-24 23:03:32.288393,0.8324779,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:31.002423,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T225959Z__20191225T005959Z.mseed_21000,2019-12-24 22:59:59.998393,2019-12-25 00:59:59.998393,100.0,229,21000,single,CM.URMC.00.HH,51,0.00011716417973286477
20191224.230344.11-P-CM.ORTC.00.HH,2019-12-24 23:03:44.118393,0.9398514,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:19:53.835073,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T225959Z__20191225T005959Z.mseed_21000,2019-12-24 22:59:59.998393,2019-12-25 00:59:59.998393,100.0,1412,21000,single,CM.ORTC.00.HH,51,0.00021577998186249594
