pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20191224.213339.14-S-CM.YOT.00.HH,2019-12-24 21:33:39.148393,0.32,S,CM,YOT,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:33:09.398393,2019-12-24 21:33:51.088393,0.8,9.3,3.9835,-76.345,1040.0,/home/emmanuel/SeisMonitor/out/downloads/YOT/CM.YOT.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.213342.88-S-CM.FLO2.00.HH,2019-12-24 21:33:42.888393,0.05,S,CM,FLO2,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:33:13.008393,2019-12-24 21:33:54.008393,0.21,8.4,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/downloads/FLO2/CM.FLO2.00.HHN__20191224T210000Z__20191224T230000Z.mseed
20191224.213347.62-P-CM.URMC.00.HH,2019-12-24 21:33:47.628393,0.75,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:33:47.538393,2019-12-24 21:33:53.398393,0.91,9.6,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213351.45-S-CM.URMC.00.HH,2019-12-24 21:33:51.458393,0.53,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:33:47.538393,2019-12-24 21:33:53.398393,0.91,8.1,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213355.93-P-CM.PRA.00.HH,2019-12-24 21:33:55.938393,0.5,P,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:33:55.798393,2019-12-24 21:34:10.208393,0.45,5.8,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.213406.07-S-CM.PRA.00.HH,2019-12-24 21:34:06.078393,0.38,S,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:33:55.798393,2019-12-24 21:34:10.208393,0.45,11.3,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.213422.10-P-CM.YOT.00.HH,2019-12-24 21:34:22.108393,0.1,P,CM,YOT,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:34:21.938393,2019-12-24 21:35:01.798393,0.31,2.3,3.9835,-76.345,1040.0,/home/emmanuel/SeisMonitor/out/downloads/YOT/CM.YOT.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.213423.61-P-CM.URMC.00.HH,2019-12-24 21:34:23.618393,0.57,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:34:23.388393,2019-12-24 21:34:29.228393,0.86,9.6,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213424.97-P-CM.FLO2.00.HH,2019-12-24 21:34:24.978393,0.04,P,CM,FLO2,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:34:24.568393,2019-12-24 21:35:05.868393,0.6,-0.1,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/downloads/FLO2/CM.FLO2.00.HHN__20191224T210000Z__20191224T230000Z.mseed
20191224.213427.46-S-CM.URMC.00.HH,2019-12-24 21:34:27.468393,0.48,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:34:23.388393,2019-12-24 21:34:29.228393,0.86,8.1,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213450.63-S-CM.YOT.00.HH,2019-12-24 21:34:50.638393,0.13,S,CM,YOT,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:34:21.938393,2019-12-24 21:35:01.798393,0.31,6.3,3.9835,-76.345,1040.0,/home/emmanuel/SeisMonitor/out/downloads/YOT/CM.YOT.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.213453.67-P-CM.URMC.00.HH,2019-12-24 21:34:53.678393,0.83,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:34:53.598393,2019-12-24 21:34:59.298393,0.86,23.1,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213454.22-S-CM.FLO2.00.HH,2019-12-24 21:34:54.228393,0.14,S,CM,FLO2,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:34:24.568393,2019-12-24 21:35:05.868393,0.6,8.3,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/downloads/FLO2/CM.FLO2.00.HHN__20191224T210000Z__20191224T230000Z.mseed
20191224.213457.63-S-CM.URMC.00.HH,2019-12-24 21:34:57.638393,0.6,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:34:53.598393,2019-12-24 21:34:59.298393,0.86,15.7,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213501.61-P-CM.PRA.00.HH,2019-12-24 21:35:01.618393,0.85,P,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:35:01.558393,2019-12-24 21:35:15.628393,0.98,22.1,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.213508.83-P-CM.ORTC.00.HH,2019-12-24 21:35:08.838393,0.76,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:35:08.718393,2019-12-24 21:35:30.258393,0.98,15.9,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed
20191224.213510.98-P-CM.CHI.00.HH,2019-12-24 21:35:10.988393,0.63,P,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:35:10.848393,2019-12-24 21:35:37.568393,0.94,3.1,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213511.55-S-CM.PRA.00.HH,2019-12-24 21:35:11.558393,0.68,S,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:35:01.558393,2019-12-24 21:35:15.628393,0.98,11.1,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.213520.39-P-CM.GARC.00.HH,2019-12-24 21:35:20.398393,0.28,P,CM,GARC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:35:19.798393,2019-12-24 21:35:53.068393,0.93,6.4,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/downloads/GARC/CM.GARC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
