pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type,id,event_idx,prob_gamma
20191224.213529.76-S-CM.CHI.00.HH,2019-12-24 21:35:29.768393,0.60864323,S,CM,CHI,00,HH,PhaseNet,2023-01-18 22:12:50.115028,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed_210000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2977,210000,single,CM.CHI.00.HH,10,9.79202098847258e-06
20191224.213834.57-P-CM.URMC.00.HH,2019-12-24 21:38:34.578394,0.95837504,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:27.027948,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_231000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,458,231000,single,CM.URMC.00.HH,11,5.201637313177043e-06
20191224.213838.22-S-CM.URMC.00.HH,2019-12-24 21:38:38.228393,0.6391871,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:13.280045,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_951000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2323,951000,overlap,CM.URMC.00.HH,11,4.428122102475832e-06
20191224.213850.55-P-CM.ORTC.00.HH,2019-12-24 21:38:50.558393,0.76453555,P,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:23.211904,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_954000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,556,954000,overlap,CM.ORTC.00.HH,11,5.6457404771063765e-06
20191224.213852.70-P-CM.CHI.00.HH,2019-12-24 21:38:52.708393,0.9396759,P,CM,CHI,00,HH,PhaseNet,2023-01-18 22:12:32.901576,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHE__20191224T205959Z__20191224T225959Z.mseed_231000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2271,231000,single,CM.CHI.00.HH,11,7.64358984363595e-06
20191224.213910.36-S-CM.ORTC.00.HH,2019-12-24 21:39:10.368393,0.86789125,S,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:19.829941,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_234000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1037,234000,single,CM.ORTC.00.HH,11,8.809264191329742e-06
20191224.215440.33-P-CM.URMC.00.HH,2019-12-24 21:54:40.338394,0.9469406,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:29.824036,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_1047000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,2534,1047000,overlap,CM.URMC.00.HH,12,5.201637313177043e-06
20191224.215444.83-S-CM.URMC.00.HH,2019-12-24 21:54:44.838393,0.83051044,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:08.155226,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_327000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1484,327000,single,CM.URMC.00.HH,12,4.428122102475832e-06
20191224.215455.91-P-CM.ORTC.00.HH,2019-12-24 21:54:55.918393,0.775535,P,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:07.948226,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_327000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2592,327000,single,CM.ORTC.00.HH,12,5.6457404771063765e-06
20191224.215457.58-P-CM.CHI.00.HH,2019-12-24 21:54:57.588393,0.84845066,P,CM,CHI,00,HH,PhaseNet,2023-01-18 22:12:33.101049,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHE__20191224T205959Z__20191224T225959Z.mseed_327000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2759,327000,single,CM.CHI.00.HH,12,7.64358984363595e-06
20191224.215515.89-S-CM.ORTC.00.HH,2019-12-24 21:55:15.898393,0.69097453,S,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:23.649123,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_1053000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,90,1053000,overlap,CM.ORTC.00.HH,12,8.809264191329742e-06
20191224.222809.03-P-CM.URMC.00.HH,2019-12-24 22:28:09.038394,0.97940814,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:30.696045,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_1248000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,2404,1248000,overlap,CM.URMC.00.HH,13,5.201637313177043e-06
20191224.222813.05-S-CM.URMC.00.HH,2019-12-24 22:28:13.058393,0.630969,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:47.290980,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_1248000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2806,1248000,overlap,CM.URMC.00.HH,13,4.428122102475832e-06
