pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,id,event_idx,prob_gamma
20191224.193303.76-S-CM.CLEJA.10.HN,2019-12-24 19:33:03.760000,0.12,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:33:01.310000,2019-12-24 19:33:04.730000,0.16,4.9,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,10,0.00011894114273385493
20191224.193303.80-P-CM.URMC.00.HH,2019-12-24 19:33:03.808393,0.83,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:33:03.708393,2019-12-24 19:33:10.088393,0.66,16.1,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,10,0.00032551780044517455
20191224.193308.01-S-CM.URMC.00.HH,2019-12-24 19:33:08.018393,0.29,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:33:03.708393,2019-12-24 19:33:10.088393,0.66,11.9,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,10,0.000406905130389544
20191224.193319.29-P-CM.ORTC.00.HH,2019-12-24 19:33:19.298393,0.31,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:33:18.618393,2019-12-24 19:33:40.738393,0.92,4.5,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,10,0.0006203639623485591
20191224.193334.14-S-CM.ORTC.00.HH,2019-12-24 19:33:34.148393,0.42,S,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:33:18.618393,2019-12-24 19:33:40.738393,0.92,4.9,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,10,0.0007655215316410832
20191224.193345.77-P-CM.URMC.00.HH,2019-12-24 19:33:45.778393,0.85,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:33:45.628393,2019-12-24 19:33:51.708393,0.95,15.5,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,11,8.137991977191389e-05
20191224.193346.21-P-CM.CLEJA.10.HN,2019-12-24 19:33:46.210000,0.7,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:33:45.720000,2019-12-24 19:33:47.770000,0.68,31.5,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,11,0.00011894114273385493
20191224.193349.72-S-CM.URMC.00.HH,2019-12-24 19:33:49.728393,0.39,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:33:45.628393,2019-12-24 19:33:51.708393,0.95,11.6,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,11,0.00032551780044517455
20191224.193404.08-P-CM.CHI.00.HH,2019-12-24 19:34:04.088394,0.1,P,CM,CHI,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:34:04.448394,2019-12-24 19:34:30.218394,0.16,4.7,4.6295,-73.7371,3140.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed,CM.CHI.00.HH,11,0.000406905130389544
20191224.193421.90-S-CM.CHI.00.HH,2019-12-24 19:34:21.908394,0.01,S,CM,CHI,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:34:04.448394,2019-12-24 19:34:30.218394,0.16,1.9,4.6295,-73.7371,3140.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed,CM.CHI.00.HH,11,0.0006203639623485591
20191224.194322.59-P-CM.URMC.00.HH,2019-12-24 19:43:22.598393,0.72,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:43:22.528393,2019-12-24 19:43:28.278393,0.74,16.4,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,12,8.137991977191389e-05
20191224.194326.90-S-CM.URMC.00.HH,2019-12-24 19:43:26.908393,0.16,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:43:26.218393,2019-12-24 19:43:26.958393,0.12,7.3,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,12,0.00011894114273385493
20191224.194338.65-P-CM.ORTC.00.HH,2019-12-24 19:43:38.658393,0.19,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:43:37.898393,2019-12-24 19:44:06.778393,0.92,5.5,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,12,0.00032551780044517455
20191224.194340.73-P-CM.CHI.00.HH,2019-12-24 19:43:40.738394,0.31,P,CM,CHI,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:43:39.928394,2019-12-24 19:44:06.808394,0.8,5.1,4.6295,-73.7371,3140.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed,CM.CHI.00.HH,12,0.000406905130389544
20191224.194358.17-S-CM.ORTC.00.HH,2019-12-24 19:43:58.178393,0.26,S,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:43:37.898393,2019-12-24 19:44:06.778393,0.92,5.2,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,12,0.0006203639623485591
20191224.194358.95-S-CM.CHI.00.HH,2019-12-24 19:43:58.958394,0.17,S,CM,CHI,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:43:39.928394,2019-12-24 19:44:06.808394,0.8,3.5,4.6295,-73.7371,3140.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed,CM.CHI.00.HH,12,0.0007655215316410832
