pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,id,event_idx,prob_gamma
20191224.222445.99-P-CM.ORTC.00.HH,2019-12-24 22:24:45.998393,0.88,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:24:45.898393,2019-12-24 22:25:14.788393,0.97,5.3,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,24,8.232169860340049e-06
20191224.222448.98-P-CM.CHI.00.HH,2019-12-24 22:24:48.988393,0.4,P,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:24:47.908393,2019-12-24 22:25:13.018393,0.88,3.5,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,24,1.083986087858577e-05
20191224.222504.30-S-CM.CHI.00.HH,2019-12-24 22:25:04.308393,0.13,S,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 22:24:47.908393,2019-12-24 22:25:13.018393,0.88,-0.9,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,24,7.70645104884309e-06
20191224.223336.63-P-CM.URMC.00.HH,2019-12-24 22:33:36.638393,0.8,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:33:36.528393,2019-12-24 22:33:42.188393,0.89,19.8,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,25,1.965125602997957e-06
20191224.223340.44-S-CM.URMC.00.HH,2019-12-24 22:33:40.448393,0.54,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 22:33:36.528393,2019-12-24 22:33:42.188393,0.89,15.2,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,25,2.4283749093416853e-06
20191224.223352.02-P-CM.ORTC.00.HH,2019-12-24 22:33:52.028393,0.23,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:33:51.868393,2019-12-24 22:34:19.648393,0.79,-7.8,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,25,8.232169860340049e-06
20191224.223354.98-P-CM.CHI.00.HH,2019-12-24 22:33:54.988393,0.39,P,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:33:54.118393,2019-12-24 22:34:23.378393,0.85,4.7,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,25,1.083986087858577e-05
20191224.223407.74-S-CM.ORTC.00.HH,2019-12-24 22:34:07.748393,0.05,S,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 22:33:51.868393,2019-12-24 22:34:19.648393,0.79,12.2,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,25,7.70645104884309e-06
20191224.223412.58-S-CM.CHI.00.HH,2019-12-24 22:34:12.588393,0.02,S,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 22:33:54.118393,2019-12-24 22:34:23.378393,0.85,1.8,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,25,3.2489015124753175e-06
20191224.224634.19-P-CM.URMC.00.HH,2019-12-24 22:46:34.198393,0.83,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:46:34.178393,2019-12-24 22:46:40.238393,0.91,15.5,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,26,1.965125602997957e-06
20191224.224638.11-S-CM.URMC.00.HH,2019-12-24 22:46:38.118393,0.61,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 22:46:34.178393,2019-12-24 22:46:40.238393,0.91,9.5,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,26,2.4283749093416853e-06
20191224.224649.34-P-CM.ORTC.00.HH,2019-12-24 22:46:49.348393,0.48,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:46:49.188393,2019-12-24 22:47:10.978393,0.87,7.9,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,26,8.232169860340049e-06
20191224.224652.54-P-CM.CHI.00.HH,2019-12-24 22:46:52.548393,0.13,P,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:46:52.758393,2019-12-24 22:47:07.288393,0.12,3.9,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,26,1.083986087858577e-05
20191224.224704.63-S-CM.ORTC.00.HH,2019-12-24 22:47:04.638393,0.53,S,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 22:46:49.188393,2019-12-24 22:47:10.978393,0.87,3.6,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,26,7.70645104884309e-06
20191224.224743.69-P-CM.URMC.00.HH,2019-12-24 22:47:43.698393,0.69,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:47:43.548393,2019-12-24 22:47:49.288393,0.45,32.3,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,27,1.965125602997957e-06
20191224.224747.51-S-CM.URMC.00.HH,2019-12-24 22:47:47.518393,0.25,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 22:47:43.548393,2019-12-24 22:47:49.288393,0.45,11.4,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,27,2.4283749093416853e-06
20191224.224759.44-P-CM.ORTC.00.HH,2019-12-24 22:47:59.448393,0.27,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:47:59.338393,2019-12-24 22:48:27.438393,0.98,15.7,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,27,8.232169860340049e-06
